datetime,A_Leq,A_L10,A_L95,C_Leq,C_L10,C_L95,source_file,noise_class
2013-01-11 22:38:00,56.5,60.83,48.86,58.68,62.41,52.31,DCC-NOISE-001003-2013-01-11T00-00-00.txt,0
2013-12-30 07:05:00,60.39,65.22,54.44,63.71,68.35,57.78,DCC-NOISE-001003-2013-12-30T00-00-00.txt,0
2013-12-24 11:35:00,62.15,63.49,59.63,68.35,73.23,63.31,DCC-NOISE-001003-2013-12-24T00-00-00.txt,0
2013-04-03 15:10:00,64.08,66.63,59.97,65.4,68.16,61.83,DCC-NOISE-001003-2013-04-03T00-00-00.txt,1
2013-12-05 10:57:00,64.13,68.28,60.16,73.12,80.35,64.75,DCC-NOISE-001003-2013-12-05T00-00-00.txt,1
2013-10-31 17:36:00,62.64,68.75,56.28,66.76,73.83,59.52,DCC-NOISE-001003-2013-10-31T00-00-00.txt,0
2013-03-22 14:20:00,64.05,66.54,60.3,64.7,67.33,60.63,DCC-NOISE-001003-2013-03-22T00-00-00.txt,1
2013-12-31 13:47:00,66.88,68.91,63.93,71.61,75.87,65.8,DCC-NOISE-001003-2013-12-31T00-02-00.txt,1
2013-10-27 02:56:00,56.49,60.26,50.03,58.08,61.92,51.43,DCC-NOISE-001003-2013-10-27T00-00-00.txt,0
2013-12-21 15:03:00,65.04,66.84,61.15,66.35,67.96,62.36,DCC-NOISE-001003-2013-12-21T00-03-00.txt,1
2013-04-16 09:45:00,63.24,66.16,58.36,72.03,77.69,63.18,DCC-NOISE-001003-2013-04-16T00-00-00.txt,1
2013-12-14 10:45:00,67.06,70.69,61.54,76.15,83.05,65.61,DCC-NOISE-001003-2013-12-14T00-00-00.txt,1
2013-12-07 15:02:00,63.09,64.63,60.12,63.69,65.39,60.45,DCC-NOISE-001003-2013-12-07T00-02-00.txt,1
2013-10-15 07:46:00,64.8,64.76,53.43,66.38,66.86,57.27,DCC-NOISE-001003-2013-10-15T00-00-00.txt,1
2013-03-21 10:30:00,67.73,71.41,60.43,70.89,73.83,64.66,DCC-NOISE-001003-2013-03-21T00-00-00.txt,1
2013-12-31 13:42:00,67.29,70.01,63.63,74.82,80.19,65.12,DCC-NOISE-001003-2013-12-31T00-02-00.txt,1
2013-08-12 23:15:00,53.32,58.2,46.57,55.34,59.39,50.21,DCC-NOISE-001003-2013-08-12T00-00-00.txt,0
2013-12-09 12:57:00,64.09,71.8,53.2,65.89,71.25,58.79,DCC-NOISE-001003-2013-12-09T00-02-00.txt,1
2013-03-22 18:45:00,60.38,62.9,56.55,64.26,67.23,59.89,DCC-NOISE-001003-2013-03-22T00-00-00.txt,0
2013-10-31 11:56:00,78.24,81.64,67.56,79.91,82.55,73.13,DCC-NOISE-001003-2013-10-31T00-00-00.txt,1
2013-12-08 23:50:00,55.15,59.1,49.38,59.53,63.34,52.39,DCC-NOISE-001003-2013-12-08T00-00-00.txt,0
2013-02-19 11:55:00,69.17,70.53,67.1,68.39,69.62,66.32,DCC-NOISE-001003-2013-02-19T00-00-00.txt,1
2013-12-09 08:22:00,59.77,62.97,55.57,63.65,66.91,59.74,DCC-NOISE-001003-2013-12-09T00-02-00.txt,0
2013-12-27 05:47:00,64.66,69.84,57.01,74.1,81.95,62.13,DCC-NOISE-001003-2013-12-27T00-02-00.txt,1
2013-01-18 02:31:00,64.11,72.01,49.03,70.02,78.15,54.58,DCC-NOISE-001003-2013-01-18T00-00-00.txt,1
2013-06-10 20:40:00,55.28,58.54,48.53,58.25,61.1,52.52,DCC-NOISE-001003-2013-06-10T00-00-00.txt,0
2013-12-27 09:12:00,64.72,68.5,57.51,73.65,79.45,61.56,DCC-NOISE-001003-2013-12-27T00-02-00.txt,1
2013-12-31 14:17:00,66.76,68.13,64.89,66.54,68.27,64.63,DCC-NOISE-001003-2013-12-31T00-02-00.txt,1
2013-12-04 21:47:00,59.05,62.23,54.88,61.44,64.35,57.54,DCC-NOISE-001003-2013-12-04T00-00-00.txt,0
2013-11-20 15:11:00,61.51,63.92,57.31,66.43,69.75,61.27,DCC-NOISE-001003-2013-11-20T00-00-00.txt,0
2013-01-14 19:06:00,60.48,63.14,57.0,63.67,66.15,60.53,DCC-NOISE-001003-2013-01-14T00-00-00.txt,0
2013-06-10 03:35:00,45.88,52.35,38.36,48.84,54.25,42.99,DCC-NOISE-001003-2013-06-10T00-00-00.txt,0
2013-05-02 08:40:00,56.65,60.93,50.64,63.69,68.73,56.92,DCC-NOISE-001003-2013-05-02T00-00-00.txt,0
2013-02-01 11:35:00,63.22,66.88,58.88,74.21,81.26,63.62,DCC-NOISE-001014-2013-02-01T00-00-00.txt,1
2013-01-08 12:15:00,73.28,74.85,70.73,72.25,74.09,69.95,DCC-NOISE-001003-2013-01-08T00-00-00.txt,1
2013-08-16 10:45:00,65.8,69.15,60.27,70.45,73.3,64.87,DCC-NOISE-001003-2013-08-16T00-00-00.txt,1
2013-03-25 14:25:00,70.23,74.09,65.41,76.38,79.78,72.27,DCC-NOISE-001003-2013-03-25T00-00-00.txt,1
2013-02-13 12:55:00,61.27,63.22,56.04,64.34,66.22,60.15,DCC-NOISE-001014-2013-02-13T00-00-00.txt,0
2013-08-22 23:35:00,51.41,57.5,43.06,55.25,60.45,48.08,DCC-NOISE-001003-2013-08-22T00-00-00.txt,0
2013-08-18 15:35:00,80.2,82.81,73.47,83.95,86.01,76.62,DCC-NOISE-001003-2013-08-18T00-00-00.txt,1
2013-01-03 11:10:00,59.12,62.51,53.78,62.24,65.17,57.99,DCC-NOISE-001003-2013-01-03T00-00-00.txt,0
2013-05-21 09:20:00,67.52,72.43,58.14,73.35,78.6,64.08,DCC-NOISE-001003-2013-05-21T00-00-00.txt,1
2013-04-27 10:25:00,56.39,59.68,51.8,59.74,62.25,56.33,DCC-NOISE-001003-2013-04-27T00-00-00.txt,0
2013-01-30 13:00:00,64.55,68.03,59.18,75.1,82.38,64.48,DCC-NOISE-001014-2013-01-30T00-00-00.txt,1
2013-11-29 10:11:00,61.35,64.26,57.32,66.21,69.08,60.5,DCC-NOISE-001003-2013-11-29T00-00-00.txt,0
2013-01-27 05:15:00,63.14,68.79,51.37,74.91,82.5,57.1,DCC-NOISE-001014-2013-01-27T00-00-00.txt,1
2013-11-06 23:57:00,54.11,57.78,49.61,56.74,60.07,52.94,DCC-NOISE-001003-2013-11-06T00-00-00.txt,0
2013-08-18 17:00:00,73.15,80.77,57.44,77.06,84.01,60.66,DCC-NOISE-001003-2013-08-18T00-00-00.txt,1
2013-04-18 01:05:00,64.01,67.59,58.41,72.5,78.01,63.89,DCC-NOISE-001003-2013-04-18T00-00-00.txt,1
2013-12-21 09:13:00,63.26,65.62,59.76,64.64,66.85,61.22,DCC-NOISE-001003-2013-12-21T00-03-00.txt,1
2013-02-04 08:50:00,63.34,66.02,57.65,69.93,74.41,62.68,DCC-NOISE-001014-2013-02-04T00-00-00.txt,1
2013-12-18 05:30:00,51.93,56.56,45.84,58.36,63.2,50.9,DCC-NOISE-001003-2013-12-18T00-00-00.txt,0
2013-02-04 18:05:00,60.41,62.44,56.85,65.62,68.83,61.53,DCC-NOISE-001014-2013-02-04T00-00-00.txt,0
2013-03-13 14:15:00,57.49,60.22,52.69,62.34,65.57,57.86,DCC-NOISE-001003-2013-03-13T00-00-00.txt,0
2013-05-11 15:30:00,60.61,62.77,56.39,64.61,67.58,58.85,DCC-NOISE-001003-2013-05-11T00-00-00.txt,0
2013-09-19 04:35:00,44.43,46.9,41.17,48.23,49.67,45.67,DCC-NOISE-001003-2013-09-19T00-00-00.txt,0
